path	git_status	baseline_kind	head_blob_oid	worktree_sha256	size_bytes	content_policy	ownership	required_action
.orchestrator/architecture.md	WORKTREE_D	TRACKED_DELETED	00c5dc9606dbf0ce018dc69104e94fe304010d7b	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/context_manifest.md	WORKTREE_D	TRACKED_DELETED	bb0581ada3a6e6fd9d4547e6ce90d2c167142f2b	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/docs/coverage_manifest.json	WORKTREE_D	TRACKED_DELETED	e9bc261ce9393d903c052276ffca8c820122fe16	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/docs/eval_and_handoff.md	WORKTREE_D	TRACKED_DELETED	10c9a40804316372ec4acb39975d07f1084a1389	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/docs/main_agent_playbook.md	WORKTREE_D	TRACKED_DELETED	b7b0359abe905da6f6818cb9fe2ad099977f1257	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/docs/subagent_runbook.md	WORKTREE_D	TRACKED_DELETED	03c93e2ae9101d093fbacd80b526e3c36bbc8a96	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/goals.md	WORKTREE_D	TRACKED_DELETED	ebd9fc16252887b08a30607f3cb8ea42f60aab86	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/memory/project_brief.md	WORKTREE_D	TRACKED_DELETED	2873b2752bcd5ad9c7f7d87dbcedf94ff82c7bfb	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/phase-1/00-plan.md	WORKTREE_D	TRACKED_DELETED	943965e84fa56d58cd2c3e28492973d487a86e65	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/01-inventory.md	WORKTREE_D	TRACKED_DELETED	cd1e0a08567062150cfef7b6f06ab989f66462fb	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/02-release-reconciliation.md	WORKTREE_D	TRACKED_DELETED	fdc613d622fb33c864d86ed327603ffc81e04df6	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/03-record-reconciliation.md	WORKTREE_D	TRACKED_DELETED	413818a38b6eeb37ecad34599041b81f65c5cd05	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/04-runtime-config-hygiene.md	WORKTREE_D	TRACKED_DELETED	294b38253df73bc505f79854bb8ca41218386c44	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/05-module-surface-map.md	WORKTREE_D	TRACKED_DELETED	5fdd0286b513c22decadb764ccd26d966d916aaa	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/06-final-baseline.md	WORKTREE_D	TRACKED_DELETED	b649397c13d312d5680b4c9f65d86ca89c8714c2	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-a/07-cleanup-application.md	WORKTREE_D	TRACKED_DELETED	cb36fdfa6f4009fe0eed3d326c1346de72902cb0	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-p/01-public-divergence-and-exposure-policy.md	WORKTREE_D	TRACKED_DELETED	0007ac37822d5ede2ddbba12c4e25cfa455263ee	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-p/02-public-commit-sequence.md	WORKTREE_D	TRACKED_DELETED	96fa19072128b5ea365d0aa8097616b3bd059c01	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
.orchestrator/stage-p/03-public-candidate-build.md	WORKTREE_D	TRACKED_DELETED	9e330fedd56830dddea74241b11200a91a56d8a9	ABSENT	0	HEAD_BLOB_ONLY_NO_WORKTREE_READ	USER_EXISTING	PRESERVE
